Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.29454E-4,21.756595858,0.230387594,0.225609756,0.076923077,0
7.36913E-4,22.051042463,0.23244565,0.221544715,0.153846154,0
7.40149E-4,22.272930488,0.233336734,0.218495935,0.153846154,0
7.61138E-4,22.50014895,0.239091819,0.215447154,0.153846154,0
7.65472E-4,22.805823265,0.240274849,0.211382114,0.153846154,0
7.84417E-4,23.11592468,0.245424233,0.207317073,0.153846154,0
7.96342E-4,23.274749794,0.248647768,0.205284553,0.230769231,0
7.98473E-4,23.513999665,0.249222188,0.202235772,0.230769231,0
8.36806E-4,23.760257768,0.259483183,0.199186992,0.230769231,0
8.52003E-4,24.014457493,0.263512099,0.196138211,0.230769231,0
8.70612E-4,24.274278853,0.268415824,0.193089431,0.230769231,0
8.90004E-4,24.540398903,0.273491074,0.19004065,0.230769231,0
9.09097E-4,24.811493766,0.278453648,0.18699187,0.230769231,0
9.11858E-4,25.084774046,0.279168538,0.183943089,0.307692308,0
9.17072E-4,25.267865952,0.280516507,0.181910569,0.307692308,0
9.34845E-4,25.546238485,0.285092525,0.178861789,0.307692308,0
9.94703E-4,25.835346444,0.300290911,0.175813008,0.307692308,0
1.01748E-3,26.038430129,0.305988842,0.173780488,0.307692308,0
1.02031E-3,26.344521644,0.306692482,0.170731707,0.307692308,0
1.03335E-3,26.550347945,0.309931773,0.168699187,0.307692308,0
1.04394E-3,26.758810365,0.312550798,0.166666667,0.307692308,0
1.14321E-3,27.100044768,0.336617252,0.163617886,0.307692308,0
1.16292E-3,27.332594092,0.341294547,0.161585366,0.307692308,0
1.17618E-3,27.566762878,0.344423335,0.159552846,0.307692308,0
1.20121E-3,27.806356991,0.350287953,0.157520325,0.307692308,0
1.28741E-3,28.059396783,0.370085179,0.155487805,0.307692308,0
1.30476E-3,28.320343808,0.373996099,0.153455285,0.307692308,0
1.35617E-3,28.590754484,0.385442919,0.151422764,0.307692308,0
1.40285E-3,28.871056689,0.395656909,0.149390244,0.307692308,0
1.41729E-3,29.012785779,0.39878128,0.148373984,0.307692308,0
1.42716E-3,29.297270165,0.400907755,0.146341463,0.307692308,0
1.45599E-3,29.585827512,0.40707692,0.144308943,0.307692308,0
1.47359E-3,29.879079461,0.410810311,0.142276423,0.307692308,0
1.48905E-3,30.027984532,0.414071609,0.141260163,0.307692308,0
1.494E-3,30.326707434,0.415110824,0.139227642,0.307692308,0
1.56631E-3,30.638409285,0.430099641,0.137195122,0.307692308,0
1.57826E-3,30.796235164,0.432538691,0.136178862,0.307692308,0
1.62958E-3,31.11952254,0.442898044,0.134146341,0.307692308,0
1.66004E-3,31.285526769,0.448956958,0.133130081,0.307692308,0
1.70565E-3,31.625399165,0.457905455,0.131097561,0.307692308,0
1.7699E-3,31.802388709,0.470265206,0.130081301,0.307692308,0
