x,y,species cloglog values
698.0,698.0,0.10364534
699.0,699.0,0.058902044
700.0,700.0,0.043585364
701.0,701.0,0.07775742
702.0,702.0,0.040497504
703.0,703.0,0.34190622
704.0,704.0,0.23937577
705.0,705.0,0.08244309
706.0,706.0,0.11635331
707.0,707.0,0.068403974
708.0,708.0,0.3412132
709.0,709.0,0.047494985
710.0,710.0,0.16604435
711.0,711.0,0.37398502
712.0,712.0,0.16383642
713.0,713.0,0.04553723
714.0,714.0,0.5792479
715.0,715.0,0.21314244
716.0,716.0,0.037173737
717.0,717.0,0.08962727
718.0,718.0,0.036208708
719.0,719.0,0.03167346
720.0,720.0,0.1798087
721.0,721.0,0.13410152
722.0,722.0,0.09505349
723.0,723.0,0.008899974
724.0,724.0,0.046513222
725.0,725.0,0.761253
726.0,726.0,0.13067287
727.0,727.0,0.25219357
728.0,728.0,0.098835714
729.0,729.0,0.22264394
730.0,730.0,0.10154591
731.0,731.0,0.06393051
732.0,732.0,0.17910896
733.0,733.0,0.23333673
734.0,734.0,0.06401435
735.0,735.0,0.13636842
736.0,736.0,0.0383845
737.0,737.0,0.048241314
738.0,738.0,0.9883677
739.0,739.0,0.10801465
740.0,740.0,0.22457778
741.0,741.0,0.012874555
742.0,742.0,0.11646554
743.0,743.0,0.043924708
744.0,744.0,0.052561376
745.0,745.0,0.111214064
746.0,746.0,0.1730861
747.0,747.0,0.28509253
748.0,748.0,0.03233466
749.0,749.0,0.97337496
750.0,750.0,0.71751505
751.0,751.0,0.09925395
752.0,752.0,0.13600528
753.0,753.0,0.03864725
754.0,754.0,0.17101395
755.0,755.0,0.056387324
756.0,756.0,0.49187052
757.0,757.0,0.30496112
758.0,758.0,0.034793828
759.0,759.0,0.30993178
760.0,760.0,0.68251985
761.0,761.0,0.040156055
762.0,762.0,0.0901828
763.0,763.0,0.07142469
764.0,764.0,0.3125508
765.0,765.0,0.057832357
766.0,766.0,0.027906876
767.0,767.0,0.051425062
768.0,768.0,0.34129456
769.0,769.0,0.8859572
770.0,770.0,0.11165374
771.0,771.0,0.110553265
772.0,772.0,0.047494985
773.0,773.0,0.20502806
774.0,774.0,0.10153101
775.0,775.0,0.049965434
776.0,776.0,0.08073427
777.0,777.0,0.15500684
