x,y,species cloglog values
756.0,756.0,0.5991068
757.0,757.0,0.04405898
758.0,758.0,0.081955716
759.0,759.0,0.042155422
760.0,760.0,0.23287687
761.0,761.0,0.9763532
762.0,762.0,0.32114968
763.0,763.0,0.15214248
764.0,764.0,0.59031445
765.0,765.0,0.05931235
766.0,766.0,0.32857588
767.0,767.0,0.18093361
768.0,768.0,0.0619079
769.0,769.0,0.05863217
770.0,770.0,0.15418981
771.0,771.0,0.045163386
772.0,772.0,0.069195025
773.0,773.0,0.16637853
774.0,774.0,0.04897642
775.0,775.0,0.07590187
776.0,776.0,0.11496921
777.0,777.0,0.025766838
778.0,778.0,0.058272783
779.0,779.0,0.13159876
780.0,780.0,0.035524886
781.0,781.0,0.0798261
782.0,782.0,0.042017944
783.0,783.0,0.071615994
784.0,784.0,0.24343663
785.0,785.0,0.14940903
786.0,786.0,0.19611084
787.0,787.0,0.04770478
788.0,788.0,0.17911933
789.0,789.0,0.6027405
790.0,790.0,0.034306224
791.0,791.0,0.04564563
792.0,792.0,0.10869087
793.0,793.0,0.06004729
794.0,794.0,0.12345388
795.0,795.0,0.26402512
796.0,796.0,0.08370558
797.0,797.0,0.5720394
798.0,798.0,0.2606024
799.0,799.0,0.32125834
800.0,800.0,0.038642395
801.0,801.0,0.155661
802.0,802.0,0.064922765
803.0,803.0,0.026679493
804.0,804.0,0.09661099
805.0,805.0,0.05963011
806.0,806.0,0.13666345
807.0,807.0,0.111238934
808.0,808.0,0.035205256
809.0,809.0,0.09354951
810.0,810.0,0.06453418
811.0,811.0,0.077413775
812.0,812.0,0.14044449
813.0,813.0,0.05003691
814.0,814.0,0.04188685
815.0,815.0,0.057205535
816.0,816.0,0.031226607
817.0,817.0,0.027229475
818.0,818.0,0.044061616
819.0,819.0,0.12426321
820.0,820.0,0.045188308
821.0,821.0,0.047560483
822.0,822.0,0.6114468
823.0,823.0,0.061853662
824.0,824.0,0.03549161
825.0,825.0,0.7859637
826.0,826.0,0.082674526
827.0,827.0,0.40906933
828.0,828.0,0.0537091
829.0,829.0,0.09091454
830.0,830.0,0.047095243
831.0,831.0,0.055520184
832.0,832.0,0.14703593
833.0,833.0,0.07647685
834.0,834.0,0.031169843
835.0,835.0,0.079714425
836.0,836.0,0.73373014
837.0,837.0,0.10777568
838.0,838.0,0.7966467
839.0,839.0,0.8140874
840.0,840.0,0.05412241
841.0,841.0,0.061065886
842.0,842.0,0.03302374
843.0,843.0,0.024263384
844.0,844.0,0.04073273
845.0,845.0,0.060762048
846.0,846.0,0.115367
